iter	Passed	Remaining
0	1	177
1	3	147
2	4	137
3	5	122
4	6	120
5	7	113
6	8	111
7	9	105
8	13	136
9	19	172
10	20	163
11	21	156
12	22	148
13	23	142
14	24	137
15	25	134
16	30	148
17	31	145
18	33	141
19	34	138
20	35	134
21	36	130
22	37	126
23	38	122
24	39	119
25	49	140
26	50	137
27	52	134
28	53	130
29	54	127
30	55	123
31	59	125
32	60	122
33	62	120
34	63	117
35	64	114
36	65	110
37	65	107
38	66	104
39	67	101
40	68	99
41	69	96
42	71	95
43	74	94
44	75	91
45	78	92
46	80	91
47	82	89
48	83	86
49	84	84
50	85	82
51	90	83
52	91	81
53	93	79
54	93	76
55	95	74
56	96	72
57	97	70
58	98	68
59	99	66
60	105	67
61	107	65
62	108	63
63	109	61
64	110	59
65	111	57
66	112	55
67	113	53
68	116	52
69	119	51
70	121	49
71	122	47
72	123	45
73	124	43
74	125	41
75	127	40
76	128	38
77	131	37
78	135	35
79	136	34
80	138	32
81	139	30
82	140	28
83	141	27
84	142	25
85	143	23
86	147	22
87	149	20
88	150	18
89	151	16
90	152	15
91	154	13
92	155	11
93	156	9
94	157	8
95	158	6
96	163	5
97	165	3
98	166	1
99	167	0
